id,Product Name,Price,Size,Units,Category,Min Level,Stock,count,re-stock Price,Supplier,Barcode/QR2-Data,Barcode/QR2-Type,Notes,Tags,Value,Photo1,Photo2,Photo3,Created At,Updated At
18,555 Tuna Caldereta,50,155,Grams,Food Packs,3,1,1,,,748485700038,org.gs1.UPC-A,Product name converted to Title Case,,50,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
19,Holiday Beef Loaf,50,150,Grams,Food Packs,,1,1,,,4800066121154,org.gs1.EAN-13,Product name converted to Title Case,,50,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
20,555 Tuna Bicol Express,50,155,Grams,Food Packs,3,0,0,,,748485700090,org.gs1.UPC-A,Product name converted to Title Case,,,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
21,Century Tuna Flakes In Oil,50,155,Grams,Food Packs,3,2,2,,,748485100401,org.gs1.UPC-A,Product name converted to Title Case,,100,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
22,Mang Tomas,60,325,Grams,Kitchen & Condiments,,3,3,,,4801668100264,org.gs1.EAN-13,Product name converted to Title Case,,180,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
23,Ram Hot Sauce,80,160,ml,Kitchen & Condiments,,4,4,,,4800017929402,org.gs1.EAN-13,Product name converted to Title Case,,320,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
24,Maggi Savor Calamansi,80,130,ml,Kitchen & Condiments,,5,5,,,4800361050104,org.gs1.EAN-13,Product name converted to Title Case,,400,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
26,Knorr Liquid Seasoning Original,85,130,ml,Kitchen & Condiments,,5,5,,,4808680230764,org.gs1.EAN-13,,,425,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
27,Claro Palm Cooking Oil,80,250,ml,Kitchen & Condiments,2,9,9,,,4806014099926,org.gs1.EAN-13,Product name converted to Title Case,,720,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
28,Del Monte Sweet Blend Ketchup,60,320,Grams,Kitchen & Condiments,1,4,4,,,4800024577139,org.gs1.EAN-13,Product name converted to Title Case,,240,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
29,Mama Sitas Oyster Sauce,20,60,Grams,Kitchen & Condiments,,11,11,,,4806512026387,org.gs1.EAN-13,Product name converted to Title Case,,220,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
30,Black Pepper Whole,50,50,Grams,Kitchen & Condiments,1,2,2,,,4809015402245,org.gs1.EAN-13,Product name converted to Title Case,,100,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
31,Laurel Leaves,50,20,Grams,Kitchen & Condiments,,2,2,,,4806533680001,org.gs1.EAN-13,Product name converted to Title Case,,100,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
32,Black Pepper Powder,50,50,Grams,Kitchen & Condiments,,1,1,,,4809015402283,org.gs1.EAN-13,Product name converted to Title Case,,50,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
33,Maggi Magic Sarap All-In-One Seasoning Granules,8,8,Grams,Kitchen & Condiments,,18,18,,,48025522,org.gs1.EAN-8,Product name converted to Title Case,,144,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
34,Great Value Rice,85,1,Kilogram,Food Packs,,9,9,,,1111111111116,org.gs1.EAN-13,"Category changed from Cold Beverages to Food Packs for rice product; Product name converted to Title Case; Category corrected from ""Cold Beverages"" to ""Food Packs""",,765,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
35,Zonrox Bleach Floral,35,250,ml,Supplies,3,3,3,,,4800047840555,org.gs1.EAN-13,Product name converted to Title Case,,105,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
36,Surf  Detergent Rose Fresh Bar,15,120,Grams,Supplies,,5,5,,,4800888136671,org.gs1.EAN-13,Product name converted to Title Case,,75,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
37,Smart Dishwashing Paste,35,200,Grams,Supplies,,34,34,,,4800045310173,org.gs1.EAN-13,Product name converted to Title Case,,1190,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
38,Joy Dishwashing Liquid,15,40,ml,Supplies,,9,9,,,4902430389563,org.gs1.EAN-13,Product name converted to Title Case,,135,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
39,Downy Sunrise Fresh,15,26,ml,Supplies,,24,24,,,4902430739016,org.gs1.EAN-8,Product name converted to Title Case,,360,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
40,Downy Garden Bloom,15,26,ml,Supplies,,0,0,,,4902430846455,org.gs1.EAN-13,Product name converted to Title Case,,,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
41,Surf Powder Detergent Rose Fresh,15,65,Grams,Supplies,,8,8,,,4800888183804,org.gs1.EAN-13,,,120,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
42,Safeguard Family Germ Protection Pure White,30,55,Grams,Toiletries,,13,13,,,4902430945554,org.gs1.EAN-13,Product name converted to Title Case,,390,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
43,Safeguard Family Germ Protection Pure White,15,22,Grams,Toiletries,,17,17,,,4902430495066,org.gs1.EAN-13,Product name converted to Title Case,,255,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
44,Bioderm Family Germicidal Soap Coolness Blue,30,60,Grams,Toiletries,5,2,2,,,4800011113937,org.gs1.EAN-13,Product name converted to Title Case,,60,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
46,Silka Whitening Herbal Soap Green & Papaya,30,65,Grams,Toiletries,,5,5,,,4806507832214,org.gs1.EAN-13,Product name converted to Title Case,,150,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
47,Silka Whitening Herbal Soap Papaya,30,65,Grams,Toiletries,,9,9,,,4806507832481,org.gs1.EAN-13,Product name converted to Title Case,,270,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
48,Colgate Calcium Boost With Flouride Maximum Cavity Protection,15,10,Grams,Toiletries,10,80,80,,,8850006325216,org.gs1.EAN-13,Product name converted to Title Case,,1200,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
49,Colgate Fresh Confidence With Cooling Crystals,15,10,Grams,Toiletries,5,32,32,,,8850006325230,org.gs1.EAN-13,Product name converted to Title Case,,480,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
50,Closeup Gel Toothpaste Red Hot,15,10,Grams,Toiletries,5,7,7,,,4800888147288,org.gs1.EAN-13,Product name converted to Title Case,,105,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
51,Closeup Gel Toothpaste Menthol Fresh,15,10,Grams,Toiletries,5,5,5,,,4800888147240,org.gs1.EAN-13,Product name converted to Title Case,,75,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
52,Charmee Panty Liner Breathable,3,,,Toiletries,12,70,70,,,4800488100058,org.gs1.EAN-13,Product name converted to Title Case,,210,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
53,Charmee Feminine Pads With Wings,10,,,Toiletries,5,12,12,,,4800488011415,org.gs1.EAN-13,Product name converted to Title Case,,120,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
54,Charmee Feminine Pads Dry Net No Wings,10,,,Toiletries,5,5,5,,,4800488958581,org.gs1.EAN-13,Product name converted to Title Case,,50,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
55,Sisters Day Maxi Regular Flow With Wings,10,240,mm,Toiletries,,11,11,,,4806506318818,org.gs1.EAN-13,Product name converted to Title Case,,110,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
56,Care Cotton Buds,20,,,Toiletries,2,6,6,,,4806524580068,org.gs1.EAN-13,Product name converted to Title Case,,120,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
57,Nursy Baby Wipes,50,200,mm,Toiletries,,1,1,,,4800488958154,org.gs1.EAN-13,Product name converted to Title Case,,50,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
58,Eq Disposable Baby Diapers New Born-Small,20,,,Toiletries,,18,18,,,4800488070221,org.gs1.EAN-13,Product name converted to Title Case,,360,,,,2025-08-08T16:35:16.931121+00:00,2025-08-08T16:51:29.723134+00:00
59,Eq Disposable Baby Diapers Medium,20,,,Toiletries,,20,20,,,4800488070238,org.gs1.EAN-13,Product name converted to Title Case,,400,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
60,Eq Disposable Baby Diapers Large,20,,,Toiletries,,8,8,,,4800488070245,org.gs1.EAN-13,Product name converted to Title Case,,160,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
61,Eq Disposable Baby Diapers Xl,20,,,Toiletries,,9,9,,,4800488070252,org.gs1.EAN-13,Product name converted to Title Case,,180,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
62,Johnson'S Baby Shampoo,110,100,ml,Toiletries,,2,2,,,9556006014547,org.gs1.EAN-13,Product name converted to Title Case,,220,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
63,Mouthwash Listerine Fresh Burst,75,100,ml,Toiletries,,2,2,,,8850007814313,org.gs1.EAN-13,Product name converted to Title Case,,150,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
64,Rexona Shower Clean+Brightening,80,25,ml,Toiletries,,3,3,,,4800888150622,org.gs1.EAN-13,Product name converted to Title Case,,240,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
65,Flawlessly Whitening Deodorant,80,25,ml,Toiletries,,1,1,,,4800119219203,org.gs1.EAN-13,Product name converted to Title Case,,80,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
66,Rhea Superscent Oil,40,25,ml,Toiletries,,3,3,,,48037389,org.gs1.EAN-8,Product name converted to Title Case,,120,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
67,Efficascent Oil,40,25,ml,Toiletries,,2,2,,,48031547,org.gs1.EAN-8,Product name converted to Title Case,,80,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
68,Ethyl Alcohol Cleene,50,60,ml,Toiletries,,5,5,,,4800067126899,org.gs1.EAN-13,Product name converted to Title Case,,250,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
69,Juicy Cologne Sweet Delight,40,50,ml,Toiletries,,1,1,,,4806507831897,org.gs1.EAN-13,Product name converted to Title Case,,40,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
70,Harley'S Tawas Powder,30,50,Grams,Toiletries,,2,2,,,4806513103353,org.gs1.EAN-13,Product name converted to Title Case,,60,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
71,Glow Toothpick,30,,,Supplies,,9,9,,,4809010431424,org.gs1.EAN-13,Product name converted to Title Case,,270,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
72,Palmolive Naturals Intensive Moisture Conditioner,80,90,ml,Toiletries,,1,1,,,4808888428024,org.gs1.EAN-13,Product name converted to Title Case,,80,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
73,Keratin Plus Gold,12,20,Grams,Toiletries,,15,15,,,4806515161511,org.gs1.EAN-13,Product name converted to Title Case,,180,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
74,Keratin Plus Brazilian Hair Treatment,12,20,Grams,Toiletries,,7,7,,,4806515161504,org.gs1.EAN-13,Product name converted to Title Case,,84,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
75,Cream Silk Vitamin Boost Conditioner,12,13,ml,Toiletries,10,48,48,,,4800888139283,org.gs1.EAN-13,Product name converted to Title Case,,576,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
76,Gard Anti-Dandruff,12,12,ml,Toiletries,,7,7,,,8850006536056,org.gs1.EAN-13,Product name converted to Title Case,,84,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
77,Palmolive Naturals Ultra Smooth (Green),12,15,ml,Toiletries,,19,19,,,8850006493038,org.gs1.EAN-13,Product name converted to Title Case,,228,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
78,Sunsilk Co-Creations Shampoo,12,15,ml,Toiletries,,27,27,,,4800888169716,org.gs1.EAN-13,Product name converted to Title Case,,324,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
79,Head & Shoulders Anti-Dandruff Shampoo,12,12,ml,Toiletries,,32,32,,,4902430333597,org.gs1.EAN-13,Product name converted to Title Case,,384,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
80,Men Rexona Quantum Dry,15,3,ml,Toiletries,,13,13,,,4800888151117,org.gs1.EAN-13,Product name converted to Title Case,,195,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
81,Rexona Shower Clean,15,3,ml,Toiletries,,1,1,,,4800888150608,org.gs1.EAN-13,Product name converted to Title Case,,15,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
82,Men Rexona Ice Cool,15,3,ml,Toiletries,,15,15,,,4800888160027,org.gs1.EAN-13,Product name converted to Title Case,,225,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
83,Rexona Powder Dry+Brightening,15,3,ml,Toiletries,,15,15,,,4800888158888,org.gs1.EAN-13,Product name converted to Title Case,,225,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
84,Energen Chocolate,20,40,Grams,Hot Beverages,,4,4,,,8996001440049,org.gs1.EAN-13,Product name converted to Title Case,,80,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
85,Energen Vanilla,20,40,Grams,Hot Beverages,,8,8,,,8996001440124,org.gs1.EAN-13,Product name converted to Title Case,,160,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
86,Kopiko Brown Instant Coffee,15,27.5,Grams,Hot Beverages,,26,26,,,8996001410547,org.gs1.EAN-13,,,390,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
87,Nescafe Creamy White,15,20,Grams,Hot Beverages,,27,27,,,4800361393096,org.gs1.EAN-13,Product name converted to Title Case,,405,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
88,Kopiko Blanca  Instant Coffee,15,30,Grams,Hot Beverages,,26,26,,,8996001414309,org.gs1.EAN-13,,,390,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
89,Nescafe Creamy Latte,15,25.5,Grams,Hot Beverages,,21,21,,,4800361383493,org.gs1.EAN-13,Product name converted to Title Case,,315,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
91,Birch Tree Fortified Milk,20,33,Grams,Hot Beverages,8,18,18,,,748485401492,org.gs1.UPC-A,Product name converted to Title Case,,360,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
92,Birch Tree Fortified Choco,20,29,Grams,Hot Beverages,8,18,18,,,748485401621,org.gs1.UPC-A,Product name converted to Title Case,,360,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
93,Great Taste White,15,30,Grams,Hot Beverages,,9,9,,,4800016021039,org.gs1.EAN-13,Product name converted to Title Case,,135,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
94,Nestle Milo Chocolate Drink,15,48,Grams,Hot Beverages,,23,23,,,4800361415293,org.gs1.EAN-13,,,345,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
95,Nestea Apple Iced Tea,30,20,Grams,Cold Beverages,,23,23,,,4800361382083,org.gs1.EAN-13,Product name converted to Title Case,,690,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
96,Tang Powdered Juice Orange,30,19,Grams,Cold Beverages,,5,5,,,7622300559991,org.gs1.EAN-13,,,150,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
97,Tang Powdered Juice Sweet Orange,30,19,Grams,Cold Beverages,,12,12,,,7622300847913,org.gs1.EAN-13,Product name converted to Title Case,,360,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
98,Tang Powdered Juice Pineapple,30,19,Grams,Cold Beverages,,13,13,,,7622300601768,org.gs1.EAN-13,,,390,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
99,Tang Powdered Juice Strawberry,30,19,Grams,Cold Beverages,,1,1,,,7622300638078,org.gs1.EAN-13,,,30,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
100,Tang Powdered Juice Apple,30,19,Grams,Cold Beverages,,23,23,,,7622300704148,org.gs1.EAN-13,,,690,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
101,Tang Powdered Juice Lemon Iced Tea,30,19,Grams,Cold Beverages,,1,1,,,7622300601744,org.gs1.EAN-13,,,30,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
102,Tang Powdered Juice Pomelo,30,19,Grams,Cold Beverages,,3,3,,,7622210706768,org.gs1.EAN-13,,,90,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
103,Nescafe Classic,5,1.9,Grams,Hot Beverages,,7,7,,,4800361339568,org.gs1.EAN-13,Product name converted to Title Case,,35,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
104,Great Taste Premium Classic,5,2,Grams,Hot Beverages,,34,34,,,4800016012358,org.gs1.EAN-13,Product name converted to Title Case,,170,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
105,Colgate Toothbrush Classic Child,30,,,Toiletries,5,13,13,,,4808888201528,org.gs1.EAN-13,Product name converted to Title Case,,390,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
106,Colgate Toothbrush Super Flexi,30,,,Toiletries,5,6,6,,,8935236000093,org.gs1.EAN-13,Product name converted to Title Case,,180,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
107,Pringles Original,120,102,Grams,Snacks,,1,1,,,8886467100017,org.gs1.EAN-13,Product name converted to Title Case,,120,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
108,Pringles Sour Cream & Onion,120,102,Grams,Snacks,,2,2,,,K116317895,org.gs1.EAN-13,Product name converted to Title Case,,240,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
109,Hansel Milk Sandwich,12,31,Grams,Snacks,,10,10,,,4800092553233,org.gs1.EAN-13,Product name converted to Title Case,,120,,,,2025-08-08T16:35:17.275971+00:00,2025-08-08T16:51:29.723134+00:00
110,Fudgee Barr Combo Flavor,12,41,Grams,Snacks,,3,3,,,4800092551284,org.gs1.EAN-13,Product name converted to Title Case,,36,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
111,Fudgee Barr Dark Chocolate,12,42,Grams,Snacks,,14,14,,,4800092553226,org.gs1.EAN-13,Product name converted to Title Case,,168,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
112,Rebisco Crackers,12,33,Grams,Snacks,,14,14,,,4800092113338,org.gs1.EAN-13,Product name converted to Title Case,,168,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
113,M.Y. San Skyflakes Crackers,12,25,Grams,Snacks,,11,11,,,750515018402,org.gs1.UPC-A,,,132,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
114,Jack'N Jill Magic Junior,8,16,Grams,Snacks,,4,4,,,4800016083457,org.gs1.EAN-13,Product name converted to Title Case,,32,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
115,Goya Pretzel Twist Milk Chocolate,20,21,Grams,Snacks,,8,8,,,4806517042801,org.gs1.EAN-13,Product name converted to Title Case,,160,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
116,Jack'N Jill Chicharron Ni Mang Juan Sukang Paombong,60,90,Grams,Snacks,,1,1,,,4800016110511,org.gs1.EAN-13,Product name converted to Title Case,,60,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
117,Jack'N Jill Chicharron Ni Mang Juan Klasik,60,90,Grams,Snacks,,2,2,,,4800016115424,org.gs1.EAN-13,Product name converted to Title Case,,120,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
118,Jack'N Jill Chicharron Ni Mang Juan Suka'T Sili,60,90,Grams,Snacks,,1,1,,,4800016110528,org.gs1.EAN-13,Product name converted to Title Case,,60,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
119,Jack'N Jill Kropek Ni Mang Juan Spicy Fried Pusit,60,90,Grams,Snacks,,1,1,,,4800016677342,org.gs1.EAN-13,Product name converted to Title Case,,60,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
120,Jack'N Jill Chicharron Ni Mang Juan Sukang Paombong,20,26,Grams,Snacks,,1,1,,,4800016110535,org.gs1.EAN-13,Product name converted to Title Case,,20,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
121,Jack'N Jill Roller Coaster Cheddar Cheese Potato Rings,20,24,Grams,Snacks,,10,10,,,4800016661006,org.gs1.EAN-13,Product name converted to Title Case,,200,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
122,Jack'N Jill Roller Coaster Cheddar Cheese Potato Rings,40,85,Grams,Snacks,,8,8,,,4800016661099,org.gs1.EAN-13,Product name converted to Title Case,,320,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
123,Jack'N Jill Chicharron Ni Mang Juan Suka'T Sili,20,26,Grams,Snacks,6,8,8,,,4800016110542,org.gs1.EAN-13,Product name converted to Title Case,,160,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
124,Jack'N Jill Nova Homestyle Bbq,30,38,Grams,Snacks,,7,7,,,4800016604225,org.gs1.EAN-13,Product name converted to Title Case,,210,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
125,Leslie'S Clover Chips Barbecue,50,55,Grams,Snacks,,0,0,,,4800216110168,org.gs1.EAN-13,Product name converted to Title Case,,,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
126,Leslie'S Clover Chips Cheesier,50,55,Grams,Snacks,,7,7,,,4800216110069,org.gs1.EAN-13,Product name converted to Title Case,,350,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
127,Jack'N Jill Piatos Cheese Flavored Potato Crisps,50,85,Grams,Snacks,,3,3,,,4800016644504,org.gs1.EAN-13,Product name converted to Title Case,,150,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
128,Jack'N Jill Piatos Sour Cream & Onion Flavored Potato Crisps,50,85,Grams,Snacks,,4,4,,,4800016671500,org.gs1.EAN-13,Product name converted to Title Case,,200,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
129,Jack'N Jill Piatos Cheese Flavored Potato Crisps,30,45,Grams,Snacks,,5,5,,,4800016644801,org.gs1.EAN-13,Product name converted to Title Case,,150,,,,2025-08-08T16:35:17.605814+00:00,2025-08-08T16:51:29.723134+00:00
