SID,Category,Product Name,Temp Stock,Stock,Size,Units,Price,8/2,8/2 $,8/3,8/3 $,8/4,8/4 $,8/5,8/5 $,8/6,8/6 $,Min Level,re-stock Quantity,re-stock Price,Supplier,Barcode/QR2-Data,Barcode/QR2-Type,Value,Tags,Notes,Stock July,Thu 7/24,Fri 7/25,Sat 7/26,Sun 7/27,Mon 7/28,Tue 7/29,Wed 7/30,Thu 7/31,Photo1
SPBR-INV-0032,Kitchen & Condiments,Black pepper powder,,1,50,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,0,,,,4809015402283,org.gs1.EAN-13,₱ 50,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_5g6heMuYTN3nlhsM5mqDSpynACrMXT0KiGh-VROkI2NyvPKGviP3cw==
SPBR-INV-0030,Kitchen & Condiments,Black pepper whole,,2,50,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,1,,,,4809015402245,org.gs1.EAN-13,₱ 100,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Y5qVfz9sI8dRIprI5_Mvj7a8Bi-b85KcuYWXsZ3OvzgyTP2iFyFghA==
SPBR-INV-0035,Supplies,Bleach zonrox floral,,3,250,ml,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,3,,,,4800047840555,org.gs1.EAN-13,₱ 105,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_xQDpHBDIwd8d5wXT_JxaA6hqnjgml8M4nrKt2y8eShmzCmcK5WKhdw==
SPBR-INV-0175,Alcoholic Beverages,Brandy Emperador,,8,1,Liter,₱ 250,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800142110102,org.gs1.EAN-13,"₱ 2,000",,,8,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_gKL1zVgJ5mWGG6zM6ukU-_GXxjiXAyIGXkQDt1nVch2xLvOhxfetnw==
SPBR-INV-0157,Cold Beverages,C2 Apple Flavored Green Tea,,29,230,ml,₱ 25,1,₱ 25,,₱ 0,,₱ 0,,₱ 0,,₱ 0,20,,,,4800016068010,org.gs1.EAN-13,₱ 725,,,21,,,7,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Mbd_rutQLfyT0He9tsRJoT0AYw-hlyigUthj3SD3kNV-6rdhA0ocLA==
SPBR-INV-0160,Cold Beverages,C2 Apple Flavored Green Tea,,37,335,ml,₱ 35,1,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,20,,,,4800016052040,org.gs1.EAN-13,"₱ 1,295",,,23,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_uOwGCA7cvdbjihSERvzts-u3H2VydH5mJPHo_i85rAnXu6SE66wC1A==
SPBR-INV-0161,Cold Beverages,C2 Litro Apple Green Tea,24,3,1000,ml,₱ 85,,₱ 0,2,₱ 170,,₱ 0,,₱ 0,,₱ 0,15,,,,4800016052774,org.gs1.EAN-13,₱ 255,,,11,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_8sHnNaB5jj-osGquwu0CZvVLIpkZjCQMnLtiC1N4xrSAYjNTj2O75A==
SPBR-INV-0056,Toiletries,Care cotton buds,,6,,,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,2,,,,4806524580068,org.gs1.EAN-13,₱ 120,,,6,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_SsyuQJgBkXLUjVYIb1wWBW8S8Ax59IwwrSerrDmLLXc-eCX-JHx5XA==
SPBR-INV-0210,Supplies,Catering tray,,5,,,₱ 65,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,5201993012898,org.gs1.EAN-13,₱ 325,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_rE-mbsy0n-Iyu001-lbKfhdJ5v4zSYkiKJqoH0oPPBBpIn6Re0njOA==
SPBR-INV-0021,Food Packs,Century tuna flakes in oil,,2,155,Grams,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,3,,,,748485100401,org.gs1.UPC-A,₱ 100,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_gs4Ja97LJYFC03Px62l9DvX7OVpSYNkp1YE3GUbtMn923zB5y2lhgA==
SPBR-INV-0054,Toiletries,Charmee feminine pads dry net no wings,,5,,,₱ 10,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800488958581,org.gs1.EAN-13,₱ 50,,,6,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_-jr1Pxd4W9NlNFrLqleuuZPSv4ynskocLwgmEZQJWW1DMF2zCsSAyw==
SPBR-INV-0053,Toiletries,Charmee feminine pads with wings,,12,,,₱ 10,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800488011415,org.gs1.EAN-13,₱ 120,,,13,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_PQLprTl-hfNt7geBrT-79dtlthBYO_dtl7n95bEQMH5vlCC-wV7QLw==
SPBR-INV-0052,Toiletries,Charmee panty liner breathable,,70,,,₱ 3,8,₱ 24,,₱ 0,,₱ 0,8,₱ 24,,₱ 0,12,,,,4800488100058,org.gs1.EAN-13,₱ 210,,,71,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_1P8HLv00jteSTuSc3yUXebaq3v_VVqOZqHsnUocZwzm7_FRgzRiS5w==
SPBR-INV-0179,Cold Beverages,Chaser sparkling iced tea,,6,330,ml,₱ 85,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,0,,,,4800142126011,org.gs1.EAN-13,₱ 510,,,6,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_X6_L7AKZ9dZNVFPaqNTDreRl6_R3am536q5_3j_SY9dlBabHrPoGYg==
SPBR-INV-0146,Snacks,Cheez it cheese flavor,,2,60,Grams,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,6,,,,4800523220086,org.gs1.EAN-13,₱ 70,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_RHNGOc239Yaf55airr1hQ2Y1YlDMESpGEHHnYfdwFTmneC8Au5Sjxw==
SPBR-INV-0142,Snacks,Cheez it cheeze and hum,,3,60,Grams,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,6,,,,4800523224015,org.gs1.EAN-13,₱ 105,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ZtZXrPEHtm7x_meWBhXuRLAk9lF44_gIvZrDGloMmPFeS0c1UwGuAA==
SPBR-INV-0153,Snacks,Cheez it cheeze flavored,,1,25,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,6,,,,4800523220079,org.gs1.EAN-13,₱ 20,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_a225J454_F69Ri61m0f3RKxJaGnfLdc3txzlsj3hyg4Z8TY2B7LAfw==
SPBR-INV-0143,Snacks,Cheeze it cheese and hum,,2,25,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,6,,,,4800523222103,org.gs1.EAN-13,₱ 40,,,2,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_nOUBl_xR_xYpHLcsoBgtzeTlTdd4BF0EYeZ90khP01n7AlsdJgC6VQ==
SPBR-INV-0123,Snacks,Chicharon ni mang Juan sukat sili,,8,26,Grams,₱ 20,1,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,6,,,,4800016110542,org.gs1.EAN-13,₱ 160,,,11,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_lfGyyNeaXez7ckA-x8m8XhWz3blIM40KMqxz63ZzwdFy9MyEHtG1tw==
SPBR-INV-0140,Snacks,Chiz Curls,,6,18,Grams,₱ 20,,₱ 0,1,₱ 20,,₱ 0,,₱ 0,,₱ 0,6,,,,4800016105746,org.gs1.EAN-13,₱ 120,,,7,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_M2Hyu3PEEzZpYqiEXaREFGW-vg7EnuZ8vNN3PZLQi6wWGjWU-05QfA==
SPBR-INV-0163,Alcoholic Beverages,Chocolate lager,,11,330,ml,₱ 95,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,0,,,,4801032025056,org.gs1.EAN-13,"₱ 1,045",,,11,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_K3bvUcGWSDTH1p5S8_cNyBn_hW4lrqT4f4TCSQol8OQYuFLw5MtX_w==
SPBR-INV-0158,Cold Beverages,Chuckie,,37,180,ml,₱ 35,1,₱ 35,,₱ 0,,₱ 0,,₱ 0,,₱ 0,10,,,,0,org.gs1.EAN-13,"₱ 1,295",,UPDATE: Barcode needs to be scanned and updated,31,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_gHTVMpJxIMS1jDRdPpEb8LRoscNvlwaOECedTWiNo_moEvkHPbd2RQ==
SPBR-INV-0159,Cold Beverages,Chuckie,,22,110,ml,₱ 25,2,₱ 50,1,₱ 25,2,₱ 50,,₱ 0,,₱ 0,15,,,,0,org.gs1.EAN-13,₱ 550,,UPDATE: Barcode needs to be scanned and updated,30,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_k68eZCmDVFWSLxEtkkLxVVCDZOpwsSQlBDJlzxRJ2at6lxfZ5coDDw==
SPBR-INV-0027,Kitchen & Condiments,Claro palm cooking oil,4,5,250,ml,₱ 80,,₱ 0,1,₱ 80,,₱ 0,,₱ 0,1,₱ 80,2,,,,4806014099926,org.gs1.EAN-13,₱ 400,,,6,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_hakHmohxzFZfBZNnLZJZZegjDMNScba4yHd-32YqvGpwAwD8cBUXMA==
SPBR-INV-0051,Toiletries,Closeup gel toothpaste menthol fresh,,5,10,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800888147240,org.gs1.EAN-13,₱ 75,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_o34snFLYexKt8Y2R4WwJoOALL_LsQ--q_c-D-HyTPl6UjU3nSHOG5Q==
SPBR-INV-0050,Toiletries,Closeup gel toothpaste red hot,,7,10,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800888147288,org.gs1.EAN-13,₱ 105,,,8,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_VZhruSgJUbh0uvOQliQdF70XsJdMcANHVju5bXfC4J35R6Cj26tORQ==
SPBR-INV-0155,Cold Beverages,Cobra energy drink,,9,350,ml,₱ 35,,₱ 0,1,₱ 35,,₱ 0,,₱ 0,,₱ 0,10,,,,4800611546760,org.gs1.EAN-13,₱ 315,,,17,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_HD2YgQYUQlL6xvk7aemsZkaiudLdgcjpEwzjUwnCE09R8Aa4s34ZZg==
SPBR-INV-0190,Cold Beverages,Coke Regular 1.5 Liter,,65,1.5,Liter,₱ 100,6,₱ 600,8,₱ 800,,₱ 0,,₱ 0,,₱ 0,25,,,,4801981116072,org.gs1.EAN-13,"₱ 6,500",,,85,5,,22,,1,,,,https://lnk.sortly.co/v2/downloads/photo/v2_RRiToa61DSr63myGhBpyOp-3gOLTzYNPft3Q022Sp_KlRI27hKFHNg==
SPBR-INV-0154,Cold Beverages,Coke Regular Mismo,,168,290,ml,₱ 25,2,₱ 50,1,₱ 25,4,₱ 100,,₱ 0,1,₱ 25,,,,,4801981118502,org.gs1.EAN-13,"₱ 4,200",,,132,2,,11,,2,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ozjtYWGII_ilOJ4iO-y1L_-jxIl5fGWlx9eK8Q-HbJEI3Oht3e3MEA==
SPBR-INV-0048,Toiletries,Colgate calcium boost with flouride maximum cavity protection,,80,10,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,10,,,,8850006325216,org.gs1.EAN-13,"₱ 1,200",,,84,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_JyhmXJansKoBiTLW9Nn88Yzk-BN9HSjnmfaDisu4l7fcn335cXpTOw==
SPBR-INV-0049,Toiletries,Colgate fresh confidence with cooling crystals,,32,10,Grams,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,8850006325230,org.gs1.EAN-13,₱ 480,,,33,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ZyvF6egCDlrrFhDy8fIF98bda9MloymCyKCLWGpxN3nQ8yGEU3Q7cg==
SPBR-INV-0105,Toiletries,Colgate toothbrush classic child,,13,,,₱ 30,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4808888201528,org.gs1.EAN-13,₱ 390,,,12,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Sz_v9VJmHC0Bzh3PeUZ7Sbf6untq15-iJWSn_mAoDPCripeb9lTEPQ==
SPBR-INV-0106,Toiletries,Colgate toothbrush super flexi,,6,,,₱ 30,,₱ 0,1,₱ 30,,₱ 0,,₱ 0,,₱ 0,5,,,,8935236000093,org.gs1.EAN-13,₱ 180,,,10,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_8wy9e-NiNKdLNh9lHGmHchGXUwY3sV1ER26idctXadIUMcpIltajAQ==
SPBR-INV-0075,Toiletries,Cream silk vitamin boost conditioner,,48,13,ml,₱ 12,1,₱ 12,1,₱ 12,,₱ 0,,₱ 0,,₱ 0,10,,,,4800888139283,org.gs1.EAN-13,₱ 576,,,32,,,3,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_zDQX9S3Pe5gLUTdoDvnuSspxUCcmRvt0tTDjZZy242OswuEjVaVgYw==
SPBR-INV-0133,Snacks,4,2,3,20,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800092772528,org.gs1.EAN-13,₱ 60,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_2lPX4F4_eAEE1awnyjqOCd8qZnUHFHkV7xYK1Wyr2bxONkFqnHSm4A==
SPBR-INV-0152,Snacks,Criss Cross creamy cheese,,1,20,Grams,₱ 20,1,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,5,,,,4800092772214,org.gs1.EAN-13,₱ 20,,,2,,,,,1,,,,https://lnk.sortly.co/v2/downloads/photo/v2_pqsENARCKm_W-g94bRz4l9zdzVHW_5-3l6Scfs4XdBTTO3CpgOD9tQ==
SPBR-INV-0028,Kitchen & Condiments,Del Monte sweet blend ketchup,,4,320,Grams,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,1,,,,4800024577139,org.gs1.EAN-13,₱ 240,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_aEN0sjQyyGvRupZHrV0I7_fTzk5KqrNJMHp2u6xn7e_Nc7Eef44nLg==
SPBR-INV-0206,Supplies,Disposable spoon eco pro,,64,,,₱ 3,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,25,,,,4806531630343,org.gs1.EAN-13,₱ 192,,,28,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_GMN5tOVXcu2hyBqb4pZeoPRw1T8UD7tee_Gdyxjwoh8zEdMO9tZaUQ==
SPBR-INV-0039,Supplies,Downy antibac kontra germs with safe guard,,24,26,ml,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4902430739016,org.gs1.EAN-8,₱ 360,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_nbjFPfcTZ4iYJ3H3tOsVm7SWHYa12MD5_ajFY0AV2l_jBo5FxKKwaA==
SPBR-INV-0040,Supplies,Downy garden bloom,,0,26,ml,₱ 15,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4902430846455,org.gs1.EAN-13,₱ 0,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_SyMwkaJ_eUT54S-Flz75S4D7sosddrNHhTB1IKPtwlc5ndElN2q2Hw==
SPBR-INV-0067,Toiletries,Efficascent oil,,2,25,ml,₱ 40,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,48031547,org.gs1.EAN-8,₱ 80,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_-0_zIqyCCbPSSJ4o9DCIvUtpz7xGIUUHmTbMReMXGEX-1DmSuQXHGw==
SPBR-INV-0197,Cigarettes,Emi posporo,,14,1,Stick,₱ 5,,₱ 0,2,₱ 10,,₱ 0,,₱ 0,,₱ 0,,,,,4800112010012,org.gs1.EAN-13,₱ 70,,,27,,,5,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_KjCG-s6tSHQmZ1di_WgvWhelWd9AUp4OK8fyHDZ-Y6veGfSrthHL-w==
SPBR-INV-0174,Alcoholic Beverages,Emperador light,,7,750,ml,₱ 200,2,₱ 400,1,₱ 200,,₱ 0,,₱ 0,,₱ 0,,,,,4800142110089,org.gs1.EAN-13,"₱ 1,400",,,8,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_5EUuM72xxtwDBNaQyuerJdF27bAS6Cvtd4kmNbgaQjNJW7rwlXN7NQ==
SPBR-INV-0084,Hot Beverages,Energen chocolate,,4,40,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,8996001440049,org.gs1.EAN-13,₱ 80,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_p-Hc8WYkOarbhT2VMxFUrhF951SlpWsgkB3BpyLdgGjbOtrrhmyMMA==
SPBR-INV-0085,Hot Beverages,Energen vanilla,,8,40,Grams,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,8996001440124,org.gs1.EAN-13,₱ 160,,,8,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DMbYoQ8eqTKS4c7id6RfgaOZPf3lYqy3TMfGfJHfL-FpPzwSLF2Taw==
SPBR-INV-0060,Toiletries,EQ disposable baby diapers large,,8,,,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800488070245,org.gs1.EAN-13,₱ 160,,,12,,,1,,2,,,,https://lnk.sortly.co/v2/downloads/photo/v2_vViwOV4_AvxCQ4GfMQIMWElj7tEajEyMWf2WkwJhuwNX8EiEWwJ3Bg==
SPBR-INV-0059,Toiletries,EQ disposable baby diapers medium,,20,,,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800488070238,org.gs1.EAN-13,₱ 400,,,20,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_pdBIOvwW9RGz_oXhWdNe3QXP-LZT5fBZhsK1u7s4jXiReSwwoWFORw==
SPBR-INV-0058,Toiletries,EQ disposable baby diapers new born-small,,18,,,₱ 20,1,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800488070221,org.gs1.EAN-13,₱ 360,,,18,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_yytVQ_6UdW0Mr8sjctipLutldEymbxCNDk8l0AYNajHeUNKR0f1vDg==
SPBR-INV-0061,Toiletries,EQ disposable baby diapers xl,,9,,,₱ 20,1,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800488070252,org.gs1.EAN-13,₱ 180,,,9,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DKsJQmWn6nyzJLiLAD4gV-utKzSAcbx0KQYOdJAoZ6OnXNo_DTk2YA==
SPBR-INV-0068,Toiletries,Ethyl alcohol cleene,,5,60,ml,₱ 50,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800067126899,org.gs1.EAN-13,₱ 250,,,5,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_04kFDPMW3Wm0wG2STjRnGrSHUGCDBxu1oJbfRutzLwTig0srwCYQaA==
SPBR-INV-0166,Alcoholic Beverages,Flavored beer apple,,14,330,ml,₱ 60,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4801032281049,org.gs1.EAN-13,₱ 840,,,34,,,6,,2,,,,https://lnk.sortly.co/v2/downloads/photo/v2_qyeO84TdI9McdVlO62kia1Ivz-hQ-wYcUPMjGZNUhJ6i-CNDoIek8A==
SPBR-INV-0065,Toiletries,Flawlessly whitening deodorant,,1,25,ml,₱ 80,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800119219203,org.gs1.EAN-13,₱ 80,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_c1kv2cHkTPBd1YK3Fp796-CtkYL7ECSd78aseGonmePgZ4mFm4AkrQ==
SPBR-INV-0202,Cigarettes,Fortune,,230,1,Stick,₱ 10,2,₱ 20,4,₱ 40,7,₱ 70,,₱ 0,,₱ 0,,,,,48043717,org.gs1.EAN-8,"₱ 2,300",,,344,,,32,,1,,,,https://lnk.sortly.co/v2/downloads/photo/v2_W4KdjGn3Iru6HxAuKSKSGbXFeH2AauDodLmqyQV2fBL-XaJ7bwaGFg==
SPBR-INV-0224,Supplies,Fresh Bathroom Tissue,,13,,,₱ 20,1,₱ 20,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,0,EAN,₱ 260,,,,,,,,,,,,
SPBR-INV-0110,Snacks,Fudgee barr combo flavor,,3,42,Grams,₱ 12,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800092551284,org.gs1.EAN-13,₱ 36,,,4,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Kl9pfsJ97VOOulNkLPYGAMHXgFt9qGSgN3KVxu3TYwdTuix-CrSCAA==
SPBR-INV-0111,Snacks,Fudgee barr dark chocolate,,14,42,Grams,₱ 12,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,4800092553226,org.gs1.EAN-13,₱ 168,,,10,,,1,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_1dAzOMPYmPBRxXv8yepBZutA1VhKfTrXeo2aU83lTnXoT7U4_IvE4w==
SPBR-INV-0185,Alcoholic Beverages,Fundador light,,1,1,Liter,₱ 600,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,8410162100234,org.gs1.EAN-13,₱ 600,,,3,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_LY7HDbnmjur_lOUtPVVLAdGJGGNH5Mioh6yoAwCrYnahZuiW6n3ZYA==
SPBR-INV-0186,Alcoholic Beverages,Fundador super special,,1,1,Liter,₱ 600,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,8410162480008,org.gs1.EAN-13,₱ 600,,,1,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ZV5e1yIjei1oP-15GC0JqNlUAiELZ4TtRiJhWZsxiQErzo-UUvqWGw==
SPBR-INV-0076,Toiletries,Gard anti-dandruff,,7,12,ml,₱ 12,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,₱ 0,,,,,8850006536056,org.gs1.EAN-13,₱ 84,,,7,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_lRfgZPklJ0l8QkOWmMoRnShvw79iu1w8wacryRnz3zn3kyo83a43sw==
SPBR-INV-0156,Cold Beverages,Gatorade blue bolt,,27,500,ml,₱ 65,1,₱ 65,1,₱ 65,,₱ 0,1,₱ 65,,₱ 0,,,,,4803925061141,org.gs1.EAN-13,"₱ 1,755",,,27,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_aVfcF3glJByAnxwDuK_sTLjAH1KMk7xSb6Xw1YdJJFPPkDjuPHRbIA==
